scope,metric,group_a,group_b,label,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,mean_diff_lo,mean_diff_hi,median_diff,median_diff_lo,median_diff_hi,mw_U,mw_p,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,magnitude,family,tier,model,note
image_level,mean_ptrue,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [mean_ptrue],72,35,0.0575817045238283,0.3915821438743955,0.02026716868082682,0.38329188028971356,-0.3340004393505672,-0.3713355616434778,-0.2974012582924552,-0.3630247116088867,-0.4122184117635091,-0.32099682117501915,33.0,3.811851662654643e-16,-0.9738095238095238,-0.996031746031746,-0.9388888888888889,large,S_difficulty_other_contrasts,secondary,,
image_level,min_ptrue,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [min_ptrue],72,35,0.022386457357141707,0.09197229657854353,0.0001442432403564453,0.053009033203125,-0.06958583922140182,-0.10951945627137782,-0.03541360499366881,-0.052864789962768555,-0.1046742096543312,-0.026939868927001953,353.0,1.601448979679439e-09,-0.7198412698412698,-0.8428968253968254,-0.5769642857142858,large,S_difficulty_other_contrasts,secondary,,
image_level,mean_conf_wrong_models,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [mean_conf_wrong_models],72,35,0.8356865776909722,0.7651332310267858,0.854248046875,0.74267578125,0.07055334666418644,0.02091976428158058,0.11885545195725854,0.111572265625,0.031005859375,0.174072265625,1653.0,0.009150731190319401,0.3119047619047619,0.08209325396825397,0.5325595238095236,small,S_difficulty_other_contrasts,secondary,,
image_level,mean_ptrue_wrong_models,shared_failure,two_model_failures,image_level: shared_failure vs two_model_failures [mean_ptrue_wrong_models],72,35,0.0575817045238283,0.16887433188302176,0.02026716868082682,0.161224365234375,-0.11129262735919346,-0.15189809719031608,-0.07043469393675134,-0.1409571965535482,-0.19402130444844565,-0.07986132303873697,451.0,7.929465432035294e-08,-0.6420634920634921,-0.7897023809523809,-0.4745436507936511,large,S_difficulty_other_contrasts,secondary,,
image_level,mean_conf,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [mean_conf],72,130,0.8356865776909722,0.814273462540064,0.854248046875,0.8214518229166666,0.021413115150908157,-0.008052951128054844,0.05010419753202343,0.03279622395833337,-0.009765625,0.07625528971354167,5442.0,0.05565586124795994,0.16282051282051282,-0.013888888888888888,0.3435897435897436,small,S_difficulty_other_contrasts,secondary,,
image_level,min_conf,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [min_conf],72,130,0.6995747884114584,0.6371150090144231,0.680908203125,0.607421875,0.06245977939703529,0.018701064933059633,0.10442805102747724,0.073486328125,0.00830078125,0.146240234375,5782.5,0.005615169831404341,0.23557692307692307,0.06741185897435897,0.39039797008547,small,S_difficulty_other_contrasts,secondary,,
image_level,conf_range,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [conf_range],72,130,0.24217054578993055,0.31543907752403844,0.239501953125,0.3280029296875,-0.07326853173410788,-0.1128379195775741,-0.03362487662551752,-0.0885009765625,-0.155029296875,-0.033935546875,3221.0,0.0002469933943316744,-0.31175213675213675,-0.4644337606837607,-0.1583199786324787,small,S_difficulty_other_contrasts,secondary,,
image_level,mean_ptrue,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [mean_ptrue],72,130,0.0575817045238283,0.6030567046923514,0.02026716868082682,0.6416486104329426,-0.5454750001685231,-0.5801546095845493,-0.5110036983525652,-0.6213814417521158,-0.6466614517072836,-0.571898341178894,34.0,1.720078349148338e-31,-0.9927350427350428,-0.9989316239316239,-0.982051282051282,large,S_difficulty_other_contrasts,secondary,,
image_level,min_ptrue,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [min_ptrue],72,130,0.022386457357141707,0.2131204971900353,0.0001442432403564453,0.18878173828125,-0.1907340398328936,-0.22114525090871204,-0.16024839642370106,-0.18863749504089355,-0.24220543056726457,-0.13532233685255052,671.0,6.964589919919501e-24,-0.8566239316239316,-0.9258600427350427,-0.7790491452991454,large,S_difficulty_other_contrasts,secondary,,
image_level,mean_conf_wrong_models,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [mean_conf_wrong_models],72,130,0.8356865776909722,0.7069439227764424,0.854248046875,0.68896484375,0.12874265491452985,0.09203815123294486,0.16517918078648056,0.165283203125,0.09358418782552087,0.22413940429687473,6910.0,2.1074156978103872e-08,0.47649572649572647,0.3431463675213675,0.6124038461538461,large,S_difficulty_other_contrasts,secondary,,
image_level,mean_ptrue_wrong_models,shared_failure,partial_failure,image_level: shared_failure vs partial_failure [mean_ptrue_wrong_models],72,130,0.0575817045238283,0.23382489131047177,0.02026716868082682,0.216156005859375,-0.17624318678664347,-0.2084678594072872,-0.14454118320713102,-0.1958888371785482,-0.25185783704121906,-0.16014488538106283,1266.0,9.619091601978456e-18,-0.7294871794871794,-0.8303472222222222,-0.6269177350427351,large,S_difficulty_other_contrasts,secondary,,
image_level,mean_conf,shared_failure,correct_all,image_level: shared_failure vs correct_all [mean_conf],72,1398,0.8356865776909722,0.9767290441888711,0.854248046875,0.9973958333333334,-0.14104246649789887,-0.16820365264218298,-0.1153343729441505,-0.14314778645833337,-0.18701171875,-0.10107421875,7374.5,1.2868627472512597e-34,-0.8534712287394691,-0.8950124682085518,-0.8088233687013193,large,S_difficulty_other_contrasts,secondary,,
image_level,min_conf,shared_failure,correct_all,image_level: shared_failure vs correct_all [min_conf],72,1398,0.6995747884114584,0.9432551175228004,0.680908203125,0.9931640625,-0.24368032911134208,-0.28158617324356133,-0.20723645815578723,-0.312255859375,-0.36083984375,-0.246826171875,8342.0,3.696503568401521e-33,-0.8342473374662216,-0.8745256119853759,-0.7919530380702592,large,S_difficulty_other_contrasts,secondary,,
image_level,conf_range,shared_failure,correct_all,image_level: shared_failure vs correct_all [conf_range],72,1398,0.24217054578993055,0.05446658591514664,0.239501953125,0.0068359375,0.18770395987478392,0.15552262545882603,0.22070753345844227,0.232666015625,0.18505859375,0.27734375,90620.0,1.1344478281699583e-30,0.8005881417898585,0.7569263133841996,0.8404578465267842,large,S_difficulty_other_contrasts,secondary,,
image_level,mean_ptrue,shared_failure,correct_all,image_level: shared_failure vs correct_all [mean_ptrue],72,1398,0.0575817045238283,0.9767290441888711,0.02026716868082682,0.9973958333333334,-0.9191473396650428,-0.937356749826551,-0.8988682548358131,-0.9771286646525066,-0.9807928999265034,-0.9614410400390625,0.0,7.062783785459709e-47,-1.0,-1.0,-1.0,large,S_difficulty_other_contrasts,secondary,,
image_level,min_ptrue,shared_failure,correct_all,image_level: shared_failure vs correct_all [min_ptrue],72,1398,0.022386457357141707,0.9432551175228004,0.0001442432403564453,0.9931640625,-0.9208686601656587,-0.9334223105327453,-0.906526005756897,-0.9930198192596436,-0.9940760731697083,-0.9907364845275879,0.0,6.876319218088069e-47,-1.0,-1.0,-1.0,large,S_difficulty_other_contrasts,secondary,,
own_error,VGG_conf,shared,specific_only_this_model,own_error: VGG16 own errors shared vs specific_only_this_model [conf],72,14,0.8582695855034722,0.7030726841517857,0.9521484375,0.698486328125,0.1551969013516865,0.059661865234374965,0.24775853232731893,0.253662109375,0.12131347656250001,0.406005859375,771.0,0.0017953219010449965,0.5297619047619048,0.2619047619047619,0.7500496031746029,large,P2_own_error_shared_vs_specific,primary,VGG16,
own_error,VGG_conf,shared,nonshared,own_error: VGG16 own errors shared vs nonshared [conf],72,33,0.8582695855034722,0.707571318655303,0.9521484375,0.7294921875,0.15069826684816923,0.07916218150745735,0.21869392780342495,0.22265625,0.146484375,0.3837951660156249,1790.0,3.246881864727262e-05,0.5067340067340067,0.31397306397306396,0.6877104377104377,large,S_own_error_shared_vs_nonshared,secondary,VGG16,
own_error,VGG_ptrue,shared,specific_only_this_model,own_error: VGG16 own errors shared vs specific_only_this_model [ptrue],72,14,0.048797796997759074,0.2457275390625,0.00023305416107177734,0.22821044921875,-0.19692974206474093,-0.2798030855429787,-0.11567649277488866,-0.22797739505767822,-0.3305767297744751,-0.14727364853024483,98.0,1.971356193197779e-06,-0.8055555555555556,-0.9206349206349206,-0.6567460317460317,large,P2_own_error_shared_vs_specific,primary,VGG16,
own_error,VGG_ptrue,shared,nonshared,own_error: VGG16 own errors shared vs nonshared [ptrue],72,33,0.048797796997759074,0.21864526922052557,0.00023305416107177734,0.194091796875,-0.1698474722227665,-0.23314440494233912,-0.11121567529673228,-0.19385874271392822,-0.3240316927433014,-0.11289995089173317,292.0,5.995393152565269e-10,-0.7542087542087542,-0.8737373737373737,-0.6161616161616161,large,S_own_error_shared_vs_nonshared,secondary,VGG16,
own_error,ResNet_conf,shared,specific_only_this_model,own_error: ResNet50 own errors shared vs specific_only_this_model [conf],72,21,0.8783738878038194,0.6969866071428571,0.9501953125,0.64453125,0.18138728066096232,0.11358321659148687,0.24876081678602435,0.3056640625,0.119140625,0.37744140625,1231.5,1.265799875562588e-05,0.628968253968254,0.43386243386243384,0.8029100529100529,large,P2_own_error_shared_vs_specific,primary,ResNet50,
own_error,ResNet_conf,shared,nonshared,own_error: ResNet50 own errors shared vs nonshared [conf],72,46,0.8783738878038194,0.7559442934782609,0.9501953125,0.737548828125,0.12242959432555856,0.06959913686853675,0.17667183622645863,0.212646484375,0.08203125,0.3017639160156249,2442.5,1.4386705060207474e-05,0.47493961352657005,0.2880132850241546,0.6443387681159419,large,S_own_error_shared_vs_nonshared,secondary,ResNet50,
