model,coverage,risk
VGG16,0.149375,0.016736401673640166
VGG16,0.15,0.016666666666666666
VGG16,0.150625,0.016597510373443983
VGG16,0.15125,0.01652892561983471
VGG16,0.151875,0.01646090534979424
VGG16,0.1525,0.01639344262295082
VGG16,0.153125,0.0163265306122449
VGG16,0.15375,0.016260162601626018
VGG16,0.154375,0.016194331983805668
VGG16,0.155,0.016129032258064516
VGG16,0.155625,0.01606425702811245
VGG16,0.15625,0.016
VGG16,0.156875,0.01593625498007968
VGG16,0.1575,0.015873015873015872
VGG16,0.158125,0.015810276679841896
VGG16,0.15875,0.015748031496062992
VGG16,0.159375,0.01568627450980392
VGG16,0.16,0.015625
VGG16,0.160625,0.019455252918287938
VGG16,0.16125,0.01937984496124031
VGG16,0.161875,0.019305019305019305
VGG16,0.1625,0.019230769230769232
VGG16,0.163125,0.019157088122605363
VGG16,0.16375,0.019083969465648856
VGG16,0.164375,0.019011406844106463
VGG16,0.165,0.01893939393939394
VGG16,0.165625,0.018867924528301886
VGG16,0.16625,0.018796992481203006
VGG16,0.166875,0.018726591760299626
VGG16,0.1675,0.018656716417910446
VGG16,0.168125,0.01858736059479554
VGG16,0.16875,0.018518518518518517
VGG16,0.169375,0.01845018450184502
VGG16,0.17,0.01838235294117647
VGG16,0.170625,0.018315018315018316
VGG16,0.17125,0.01824817518248175
VGG16,0.171875,0.01818181818181818
VGG16,0.1725,0.018115942028985508
VGG16,0.173125,0.018050541516245487
VGG16,0.17375,0.017985611510791366
VGG16,0.174375,0.017921146953405017
VGG16,0.175,0.017857142857142856
VGG16,0.175625,0.017793594306049824
VGG16,0.17625,0.01773049645390071
VGG16,0.176875,0.0176678445229682
VGG16,0.1775,0.017605633802816902
VGG16,0.178125,0.017543859649122806
VGG16,0.17875,0.017482517482517484
VGG16,0.179375,0.017421602787456445
VGG16,0.18,0.017361111111111112
VGG16,0.180625,0.01730103806228374
VGG16,0.18125,0.017241379310344827
VGG16,0.181875,0.01718213058419244
VGG16,0.1825,0.017123287671232876
VGG16,0.183125,0.017064846416382253
VGG16,0.18375,0.017006802721088437
VGG16,0.184375,0.01694915254237288
VGG16,0.185,0.016891891891891893
VGG16,0.185625,0.016835016835016835
VGG16,0.18625,0.016778523489932886
VGG16,0.186875,0.016722408026755852
VGG16,0.1875,0.016666666666666666
VGG16,0.188125,0.016611295681063124
VGG16,0.18875,0.016556291390728478
VGG16,0.189375,0.0165016501650165
VGG16,0.19,0.01644736842105263
VGG16,0.190625,0.01639344262295082
VGG16,0.19125,0.016339869281045753
VGG16,0.191875,0.016286644951140065
VGG16,0.1925,0.016233766233766232
VGG16,0.193125,0.016181229773462782
VGG16,0.19375,0.016129032258064516
VGG16,0.194375,0.01607717041800643
VGG16,0.195,0.016025641025641024
VGG16,0.195625,0.01597444089456869
VGG16,0.19625,0.01592356687898089
VGG16,0.196875,0.015873015873015872
VGG16,0.1975,0.015822784810126583
VGG16,0.198125,0.015772870662460567
VGG16,0.19875,0.015723270440251572
VGG16,0.199375,0.01567398119122257
VGG16,0.2,0.015625
VGG16,0.200625,0.01557632398753894
VGG16,0.20125,0.015527950310559006
VGG16,0.201875,0.015479876160990712
VGG16,0.2025,0.015432098765432098
VGG16,0.203125,0.015384615384615385
VGG16,0.20375,0.015337423312883436
VGG16,0.204375,0.01529051987767584
VGG16,0.205,0.01524390243902439
VGG16,0.205625,0.015197568389057751
VGG16,0.20625,0.015151515151515152
VGG16,0.206875,0.015105740181268883
VGG16,0.2075,0.015060240963855422
VGG16,0.208125,0.015015015015015015
VGG16,0.20875,0.014970059880239521
VGG16,0.209375,0.014925373134328358
VGG16,0.21,0.01488095238095238
VGG16,0.210625,0.01483679525222552
VGG16,0.21125,0.014792899408284023
VGG16,0.211875,0.014749262536873156
VGG16,0.2125,0.014705882352941176
VGG16,0.213125,0.01466275659824047
VGG16,0.21375,0.014619883040935672
VGG16,0.214375,0.014577259475218658
VGG16,0.215,0.014534883720930232
VGG16,0.215625,0.014492753623188406
VGG16,0.21625,0.014450867052023121
VGG16,0.216875,0.01440922190201729
VGG16,0.2175,0.014367816091954023
VGG16,0.218125,0.014326647564469915
VGG16,0.21875,0.014285714285714285
VGG16,0.219375,0.014245014245014245
VGG16,0.22,0.014204545454545454
VGG16,0.220625,0.014164305949008499
VGG16,0.22125,0.014124293785310734
VGG16,0.221875,0.014084507042253521
VGG16,0.2225,0.014044943820224719
